,| 男性的 |,| 女性的 |,不分男女的 :,最常用於男性 = 男女,最常用於女性 = 女男,,,,,,
男,Leyton,,,英語（現代）,源自 Layton 的一個姓氏變體。,,,,,,
男,Liam,,,愛爾蘭語、英語、法語（現代）、荷蘭語（現代）、德語（現代）、瑞典語（現代）、挪威語（現代）,William 的愛爾蘭語縮寫。它在 20 世紀 80 年代在英國流行起來， 之後在歐洲和美洲其他地區也開始流行。自2017年以來，它一直是美國最受歡迎的男孩名字。擁有該名字的名人包括英國演員利亞姆·尼森（1952-）、英國音樂家利亞姆·加拉格爾（1972-）和澳大利亞演員利亞姆·海姆 斯沃斯（1990-）。,,,,,,
女,Liana,,,義大利語、葡萄牙語、羅馬尼亞語、英語、喬治亞語,是朱莉安娜（Juliana）、莉莉安娜（Liliana）和其他以「liana」結尾的名字的縮寫。這個字也指一種生長在叢林中的藤蔓植物。,,,,,,
女,Lianne,,,英語（罕見）,Leanne的變體。,,,,,,
女,Libbie,,,英語,Libby的變體。,,,,,,
女,Libby,,,英語,原本是Ibb的中世紀暱稱，而Ibb本身又是Isabel的暱稱。它也被用作伊麗莎白（Elizabeth）的暱稱。,,,,,,
女男,Liberty,Libby,,英語,源自英語單字liberty，源自拉丁文libertas，是liber「自由」的衍生字。有趣的是，自1880年以來，這個名字曾在三個不同的時期登上美國流行榜：1918年（第一次世界大戰結束）、1976年（美國建國兩百週年）以及2001年之後（反恐戰爭期間）。,,,,,,
女,Liddy,,,英語,Elizabeth 或 Lydia 的暱稱。,,,,,,
女,Lila (2),,,英語,Leila 的變體。,,,,,,
女,Lilac,,,英語（罕見）,源自英語單字，意為紫丁香屬，開紫色或白色花朵的灌木。此字源自波斯語，並經由阿拉伯語演變而來。,,,,,,
女,Lilah,,,英語,Leila 的變體。,,,,,,
女男,Lilian,"Leanna, Liana, Lillia, Lillie",,英語、法語、羅馬尼亞語,Lillian 的英語變體，以及法語和羅馬尼亞語的陽性形式。,,,,,,
女,Liliana,"Liana (義大利語) Liana (葡萄牙語) Liana (羅馬尼亞語) Leanna, Liana, Lillia, Lillie (英語)",,義大利語、西班牙語、葡萄牙語、羅馬尼亞語、波蘭語、捷克語、英語,Lillian 的拉丁文形式。,,,,,,
女,Lilianna,"Leanna, Liana, Lillia, Lillie",,波蘭語、英語（現代）,Liliana 的變體。,,,,,,
女,Lilibet,"Lillia, Lillie",,英語,Elizabeth 的暱稱。,,,,,,
女,Lilibeth,"Lillia, Lillie",,英語,Elizabeth 的暱稱。,,,,,,
女,Lillia,Lillie,,英語,Lillian 的縮寫，或 Lily 的擴展形式。,,,,,,
女,Lillian,"Leanna, Liana, Lillia, Lillie",,英語,可能原本是 Elizabeth 的暱稱。也可能被認為是 Lily 的擴展形式， 源自拉丁語中表示“百合花”的 lilium。這個名字自 16 世紀以來一直在 英國使用。,,,,,,
女,Lilliana,"Leanna, Liana, Lillia, Lillie",,英語（現代）,Lillian 的變體。,,,,,,
女,Lillie,,,英語,Lily 的變體，或 Lillian 或 Elizabeth 的暱稱。,,,,,,
女,Lilly,,,英語、挪威語、丹麥語、瑞典語,Lily 的英語變體。在斯堪的納維亞半島，它也被用作百合（Lily） 或伊麗莎白（Elisabeth）的縮寫。,,,,,,
女,Lily,,,英語,源自象徵純潔的花名。這個字最終源自於拉丁文 lilium。這是伊迪絲華 頓小說《歡樂之家》（1905）中主角莉莉巴特（Lily Bart）的名字。 美國女演員莉莉湯姆林（1939-）也曾使用過這個名字。,,,,,,
女,Lilyrose,,,英語,Lily 和 Rose 的組合。,,,,,,
女,Lina (2),,,英語、義大利語、西班牙語、葡萄牙語、德語、法語、立陶宛語、瑞典語、丹麥語、挪威語、斯洛維尼亞語,以 lina 結尾的姓名的縮寫。,,,,,,
男,Lincoln,Link,,英語,源自英語姓氏林肯（Lincoln），該姓氏最初源於羅馬人稱為林杜姆·科洛尼亞（Lindum Colonia）的英國城市名，源於布立吞語 lindo（意為“湖泊 、水池”）和拉丁語 colonia（意為“殖民地”）。這個名字通常是為了紀念 美國內戰期間的美國總統亞伯拉罕·林肯 (1809-1865)。,,,,,,
女,Linda,Lindy、Linnie、Lyndi (英語) Linn (瑞典語) Linn (挪威語),,英語、德語、荷蘭語、義大利語、瑞典語、挪威語、丹麥語、冰島語、法語、拉脫維亞語、芬蘭語、愛沙尼亞語、匈牙利語、捷克語、斯洛伐克語、日耳曼語,最初是中世紀日耳曼人名的縮寫形式，包含 lind 元素，意為「柔軟 、靈活、溫柔」（原始日耳曼語 *linþaz）。它也與西班牙語和葡萄牙語 中的 linda 意思相同，意為「美麗」。在英語世界中，這個名字從 20 世紀 30 年代開始流行，在 1940 年代末達到頂峰，不久後便逐漸衰落。 1947 年至 1952 年期間，它是美國最受歡迎的女孩名字。,,,,,,
男女,Linden,,,英語,源自德國和荷蘭姓氏，源自古高地德語 linta，意為「菩提樹」。,,,,,,
男,Lindon,,,英語（罕見）,源自姓氏 Lyndon 的變體。,,,,,,
女男,Lindsay,,,英語,源自英格蘭和蘇格蘭姓氏 Lindsay，該姓氏最初源自於英格蘭東部地區 Lindsey 的名稱，在古英語中意為“林肯島”。作為名字，Lindsay 通常為陽性，直到 20 世紀 60 年代（在英國）和 70 年代（在美國），之後才在女孩中流行起來，這可能是因為它與 Linda 相似，也與美國女演員 Lindsay Wagner（1949-）有關。,,,,,,
女男,Lindsey,,,英語,Lindsay 的變體。,,,,,,
女,Lindsie,,,英語（罕見）,Lindsay 的變體。,,,,,,
男女,Lindy,,,英語,Lindy 最初是一個陽性名字，於 1927 年在美國開始使用，當時一種名為 Lindy Hop 的舞蹈開始流行。這種舞蹈可能是以飛行員查爾斯·林德伯格 (Charles Lindbergh) 的名字命名的。後來，這個名字被用來作為琳達 (Linda) 的暱稱。,,,,,,
女,Linette,,,英語,Lynette 的變體。,,,,,,
男,Linford,,,英語（罕見）,源自姓氏，該姓氏原源自古英語意為「亞麻淺灘」或「菩提樹淺灘」的地名。,,,,,,
男,Link,,,英語,Lincoln 的縮寫。這是《薩爾達傳說》電子遊戲系列（首次出現於 1986 年）中的英雄名字，源自英語單字 link，意為「連結、連結」。 日文中他被稱為 リンク (Rinku)。,,,,,,
女,Linnaea,,,英語（罕見）,源自一種花的詞，也稱為雙生花（參見 Linnéa）。,,,,,,
女,Linnet,,,英語（罕見）,可能是 Lynette 的變體，也可能源自於一種小鳥的名字，一種雀鳥。,,,,,,
女,Linnette,,,英語（罕見）,Lynette 的變體。,,,,,,
女,Linnie,,,英語,Linda 和其他以 Lin 開頭的名字的縮寫。,,,,,,
女,Linsay,,,英語（罕見）,Lindsay 的變體。,,,,,,
女,Linsey,,,英語,Lindsay 的變體。,,,,,,
男,Linton,,,英語,源自姓氏，該姓氏原源自古英語意為「亞麻鎮」或「菩提樹鎮」的地名。,,,,,,
男,Linwood,,,英語,源自於一個英語姓氏，該姓氏最初源自於古英語中意為「溪流森林」的地名。,,,,,,
女,Linzi,,,英語（罕見）,Lindsay 的變體。,,,,,,
男,Lionel,,,法語、英語、亞瑟王傳奇,Léon 的法文縮寫。它出現在13世紀亞瑟王傳奇的蘭斯洛特-聖杯傳奇中 ，屬於一位騎士，他是博爾斯爵士的兄弟。一個著名的現代使用者是阿根廷足球明星萊昂內爾·梅西（1987-）。,,,,,,
女,Lisa,,,英語、德語、荷蘭語、瑞典語、挪威語、丹麥語、義大利語,Elizabeth 的縮寫（儘管經常單獨使用）及其在其他語言中的同源詞。 這是世界著名畫作《蒙娜麗莎》（達文西創作的麗莎·德爾·吉奧孔多肖像）主角的名字。在美國，從1958年到1978年，這個名字比全名「伊莉莎白」（Elizabeth）更受歡迎，事實上，在1962年至1969年期間，它是美國最受歡迎的名字。,,,,,,
女,Lise,,,法語、瑞典語、挪威語、丹麥語、英語,Elisabeth 或 Elizabeth 的縮寫。,,,,,,
女,Lisette,,,法語、英語,Élisabeth 的暱稱。,,,,,,
女,Lisha,,,英語,Alicia、Felicia 和其他以相同發音結尾的名字的縮寫。,,,,,,
女,Lissa,,,英語,Melissa 的縮寫。,,,,,,
女,Lita,,,英語,以 lita 結尾的名字的縮寫。這個名字在20世紀20年代因查理·卓別林的第二任妻子麗塔·格雷（Lita Grey，1908-1995）而為公眾所知。她的本名是莉莉塔·路易絲·麥克默里（Lillita Louise MacMurray）。,,,,,,
女,Liv (2),,,英語,奧莉維亞（Olivia）的縮寫。,,,,,,
女,Livia (2),,,英語,奧莉維亞（Olivia）的縮寫。,,,,,,
女,Livvy,,,英語,奧莉維亞（Olivia）的縮寫。,,,,,,
女,Livy (2),,,英語,奧莉維亞（Olivia）的縮寫。,,,,,,
女,Liz,,,英語,伊麗莎白（Elizabeth）的縮寫。這是女演員伊莉莎白泰勒（Elizabeth Taylor，1932-2011）的常用名。,,,,,,
女,Liza,,,英語、俄語、希臘語、格魯吉亞語,伊麗莎白（Elizabeth，英語）、葉麗莎維塔（Yelizaveta，俄語）、伊麗莎白（Elisavet，希臘語）或伊麗莎白（Elisabed，格魯吉亞語）的縮寫。,,,,,,
女,Lizbeth,"Lillia, Lillie",,英語，西班牙語（拉丁美洲）,Elizabeth 的縮寫。,,,,,,
女,Lizette,"Lillia, Lillie",,英語,Elizabeth 的暱稱。,,,,,,
女,Lizzie,,,英語,Elizabeth 的暱稱。,,,,,,
女, Lizzy,,,英語,Elizabeth 的暱稱。,,,,,,
男,Lloyd,,,英語,源自威爾斯姓氏，源自 llwyd，意為「灰色」。作曲家安德魯·勞埃德· 韋伯（1948-）是該姓氏的著名使用者。,,,,,,
男,Lockie,,,英語,Lachlan 的暱稱。,,,,,,
男女,Logan,,,英語,源自蘇格蘭姓氏，原源自於艾爾郡的一個地方，意為「小窪地」（源自蓋爾語 lag「窪地，坑」加上一個暱稱字尾）。這個名字在1970年代 中期開始在美國流行榜上緩慢上升，或許部分原因是受到了電影《洛根的奔跑》（1976年）的啟發。漫畫人物金鋼狼（別名羅根）也大約在同一時期出現。自20世紀末以來，這個名字在整個英語世界都非常流行。在美國，它在2017年達到了頂峰，位居男孩最受歡迎的名字第五位。,,,,,,
女,Lois (1),,,英語、聖經、聖經拉丁文、聖經希臘語,可能源自希臘文λωίων (loion)，意為「更令人嚮往」或「更好」。在《新約》中，Lois是尤妮絲的母親和提摩太的祖母。作為一個英語名字，它在宗教改革後開始使用。在小說中，這是漫畫英雄超人的女友的名字。,,,,,,
女,Lola,,,西班牙語、英語、法語,Dolores的西班牙語縮寫。著名的Lola Montez（1821-1861；本名Eliza Gilbert）是愛爾蘭裔舞者、演員和交際花。,,,,,,
女,Lolicia,,,英語（罕見）,Lola的繁體形式。,,,,,,
男,Lon ,,,英語,Alonzo及其他同音名字的縮寫。著名的Lon Chaney Sr.（1883-1930）和Lon Chaney Jr.（1906-1973）也曾使用過這個名字。 Lon Chaney的本名是Leonidas。,,,,,,
女男,London,,,英語（現代）,源自英國首都倫敦，其意義不明。美國作家傑克·倫敦（1876-1916）曾經用該名字作為姓氏。,,,,,,
女,Londyn,,,英語（現代）,London 的變體。,,,,,,
男,Lonnie,,,英語,Alonzo及其他同音名字的縮寫。,,,,,,
男,Lonny,,,英語,Alonzo 的縮寫，以及其他發音相同的名字。,,,,,,
女,Lora,,,英語,Laura 的變體。,,,,,,
女,Loraine,"Lori, Lorie, Lorinda, Lorri, Lorrie, Laurinda",,英語,Lorraine 的變體。,,,,,,
女,Lorainne,"Lori, Lorie, Lorinda, Lorri, Lorrie, Laurinda",,英語,Lorraine 的變體。,,,,,,
女,Lorayne,"Lori, Lorie, Lorinda, Lorri, Lorrie, Laurinda",,英語,Lorraine 的變體。,,,,,,
女,Loreen,"Lori, Lorie, Lorinda, Lorri, Lorrie, Laurinda",,英語,Lorene 的變體。,,,,,,
女,Lorelai,,,英語（現代）,Lorelei 的變體。這個名字出現在電視劇《吉爾莫女孩》（2000-2007）中，劇中兩個主角都叫這個名字（小的那個暱稱 Rory）。,,,,,,
女,Lorelei,,,文學，英語,源自德語 Loreley，萊茵河上一處岩石岬角的名稱。其意義尚不確定， 但第二個詞組可能是古德語 ley，意為「岩石」（源自凱爾特語）。           從 1801 年的克萊門斯·布倫塔諾開始，德國浪漫主義詩人和詞曲作家 就曾講述過一位名叫 Lorelei 的少女住在岩石上，用她的歌聲引誘船夫走 向死亡。在英語世界中，自 20 世紀初以來，這個名字偶爾被使用。 自從電視劇《吉爾莫女孩》（2000-2007） 中主角（及其女兒， 暱稱羅裡）使用了變體“Lorelai”後，這個名字在美國開始流行起來。,,,,,,
女,Lorelle,,,英語（罕見）,Laurel 的變體。,,,,,,
男女,Loren,,,英語,可能是 Laurence 1（陽性）的縮寫，也可能是 Lauren（陰性）的變體。,,,,,,
女,Lorena (2),"Lori, Lorie, Lorinda, Lorri, Lorrie, Laurinda",,英語,Lauren 的拉丁化形式。這個名字最早在美國引起公眾關注是因為 歌曲《Lorena》（1856），這首歌的作者是約瑟夫·韋伯斯特，據說 他根據 Lenore（取自愛倫·坡詩歌《烏鴉》中的角色）的字母重排創造了 這個名字。,,,,,,
女,Lorene,"Lori, Lorie, Lorinda, Lorri, Lorrie, Laurinda",,英語,可能是 Loren 或 Lorena 2 的變體。,,,,,,
女,Loretta,"Lori, Lorie, Lorinda, Lorri, Lorrie, Laurinda (英語) Norina (義大利語)",,英語、義大利語,可能是 Lauretta 或 Loreto 的變體，或以 Lor 開頭的名字的縮寫。 美國女演員洛麗泰楊（Loretta Young，1913-2000） 的著名名字就是 這個名字，她的本名是格雷琴（Gretchen）。,,,,,,
女,Lori,,,英語,Laura、Lorraine 和其他以 Lor 開頭的名字的縮寫。這個名字在 20 世紀 50 年代和 60 年代在美國迅速流行起來，並在 1963 年達到女孩名字排行第八的頂峰。,,,,,,
女,Lorie,,,英語,Lori 的變體。,,,,,,
男女,Lorin,,,英語,Loren 的變體。,,,,,,
女,Lorinda,,,英語,Lori 的變體，加上流行的後綴 inda。,,,,,,
女,Lorine,,,英語,Lorene 的變體。,,,,,,
男,Lorn,,,英語（罕見）,Lorne 的變體。,,,,,,
女,Lorna,,,英語,由作家 R. D. Blackmore 為其小說《洛娜·杜恩》（Lorna Doone，1869 年）中的主角所創。這部小說以英格蘭南部為背景，講述了約翰·里德（John Ridd）和洛娜·杜恩（Lorna Doone）之間危險的愛情。布萊克 莫爾可能以蘇格蘭地名“Lorne”或“Lorne侯爵”（參見“Lorne”）命名。,,,,,,
男,Lorne,,,英語,源自“Lorne侯爵”稱號，該稱號源於蘇格蘭地名“Lorne”，而“Lorne”本身可能源自傳奇的達爾里阿塔國王洛恩·麥克·艾爾克（Loarn mac Eirc）。 這是加拿大第一任總督的稱號，此後，它最常用作名字。加拿大演員洛恩·格林（1915-1987）是該頭銜的著名持有者。,,,,,,
女,Lorraine,"Lori, Lorie, Lorinda, Lorri, Lorrie, Laurinda",,英語,源自法國東部一個地區的名稱，原意為「洛泰爾王國」。洛泰爾是一位法蘭克國王，查理曼大帝的曾孫，其領地位於法國現今的洛林地區，德語中為Lothringen（源自拉丁語Lothari regnum）。作為名字，它自19世紀 末以來便在英語世界中廣泛使用，或許是因為其發音與Laura相似。第一次世界大戰後，由於該地區是德法爭奪的焦點，它開始流行起來。,,,,,,
女,Lorri,,,英語,Lori的變體。,,,,,,
女,Lorrie,,,英語,Lori的變體。,,,,,,
男女,Lorrin,,,英語（罕見）,Loren的變體。,,,,,,
女,Lottie,,,英語、瑞典語,Charlotte或Liselotte的暱稱。,,,,,,
女,Lotus,,,英語（罕見）,源自蓮花（Nelumbo nucifera種）或神話中的蓮花樹的名稱。它們 最終源自於希臘文λωτός（lotos）。在希臘和羅馬神話中，蓮花樹的果實據說會使人昏昏欲睡、健忘。,,,,,,
女男,Lou,,,英語、法語,Louise或Louis的縮寫。著名的使用這個名字的人包括棒球運動員盧·格里格（1903-1941）和音樂家盧·里德（1942-2013）。,,,,,,
女,Louella,,,英語,Lou 與常用名後綴 ella 的組合。,,,,,,
男,Louie,,,英語,Louis 的暱稱。,,,,,,
男,Louis,,,法語、英語、荷蘭語,Ludovicus 的法語形式，Ludwig 的拉丁化形式。這是法國18位國王的 名字，從查理曼大帝之子路易一世開始。其他使用這個名字的人包括領導過兩次十字軍東徵的路易九世（聖路易）和法國鼎盛時期的統治者路易十四（被稱為太陽王），他是凡爾賽宮的建造者，也是歐洲歷史上在位時間最長的君主。德國（使用 Ludwig 的名字）、匈牙利（使用 Lajos 的名字）和其他國家的國王也使用這個名字。除了皇室成員外，這個名字在中世紀的法國並不那麼流行。法國大革命後，路易十六被送上斷頭台，這個名字變得不那麼常見了。諾曼人把這個名字帶到了英國，在那裡通常拼寫為 Lewis，儘管在美國，Louis 的拼寫更為常見。著名的姓氏 包括法國科學家路易·巴斯德（1822-1895）、法國演員路易·德·菲涅斯  （1914-1983）、蘇格蘭作家羅伯特·路易斯·史蒂文森（1850-1894），  他寫了一部名為《金銀島》的小說以及傑基爾博士和海德先生，以及美國爵士音樂 家路易斯阿姆斯壯（1901-1971）。,,,,,,
